iter,train_loss,val_loss,train_ppl,val_ppl,train_acc,val_acc
0,4.475132942199707,4.27595329284668,87.80627279291463,71.94869480382063,0.3160546875,0.3512109375
50,3.9445266723632812,3.7772345542907715,51.65188406095983,43.69503824237291,0.3276171875,0.349375
100,3.8094322681427,3.6187243461608887,45.124812798859,37.289968376980646,0.3351171875,0.3592578125
150,3.680474281311035,3.4520506858825684,39.665202076120885,31.565055998347617,0.352578125,0.3862109375
200,3.555346965789795,3.525974750518799,34.99996165053435,33.98688621033249,0.366015625,0.3676953125
250,3.5238680839538574,3.5588538646698,33.915362538223135,35.1229184493632,0.367578125,0.3614453125
300,3.4298431873321533,3.46779203414917,30.87180128056508,32.06586389238489,0.380703125,0.3751171875
350,3.4113070964813232,3.356217622756958,30.304829719049458,28.68050497393797,0.3778515625,0.390703125
400,3.3252978324890137,3.4161717891693115,27.80727932069376,30.452612570229345,0.385859375,0.385546875
450,3.3175203800201416,3.5003528594970703,27.591848365424188,33.12713912225778,0.385234375,0.377109375
500,3.1778876781463623,3.534830331802368,23.996012678422304,34.289196434497,0.4068359375,0.3810546875
550,3.224045991897583,3.3885974884033203,25.129588885159382,29.62437459168678,0.394296875,0.398359375
600,3.168017625808716,3.3960556983947754,23.76033576239947,29.846145376802664,0.39703125,0.39546875
601,3.220794677734375,3.443739414215088,25.04801737606088,31.30379744208094,0.39375,0.3898046875
